y,sigma2
-0.15827292748854568,1.1378005776319247
-1.6894391227672874,0.9699087713307192
1.4381676599960633,1.3009825465288836
1.433083301256623,1.424104831392207
-0.9982815982602388,1.5132781069796453
-0.41376405410489686,1.4169942904451531
-0.05196368983749242,1.2112024458485902
-0.17811355752051178,1.0236751031780154
0.8103940646607944,0.881486306547772
1.1543281185602305,0.8657545768274852
-0.7946284471524405,0.9686224488249477
-0.7548466379475638,0.9347680298533474
0.20571164344308174,0.8943153072670449
0.4271624694786093,0.7814361568904528
-1.5368321373230343,0.7116961672681464
0.7954640471250476,1.0069179484789728
-2.067633724454329,0.9638564101681069
-1.6470824038358862,1.511170119961991
1.6782886821835135,1.6968523393753645
0.9495257716817053,1.8639202632248326
-1.6153929839588195,1.6884313056306572
-0.3397745364572914,1.81367038382714
-1.4369111468720746,1.5142746691980897
-0.46967962605716584,1.5934869302030616
-0.9916357864339252,1.3592360563990702
-0.6837638054913012,1.2939595128973624
0.7762383633224269,1.1669521173914703
-1.498138681165921,1.083997886302466
-1.253413180257611,1.2721846396365255
1.3956774032887527,1.3346767558711408
3.6966819024833626,1.4344408930674455
-0.6613418425360127,3.4043363536434113
1.9794469987395522,2.8222559532588547
1.2936581524401582,2.929648374967768
-1.405288842945095,2.6490596008141374
-0.356788114968383,2.4719955806842893
-0.7465715127916495,2.034257932760014
-0.7885461604753824,1.7593212014497677
-0.5682563255011742,1.5560878903212148
-1.0630727097998471,1.3441793701537357
-0.05686343347014042,1.3150204986447807
-0.3978641276286947,1.1051395579611771
-1.1329160930010485,0.9657643743110927
0.8976312111528473,1.0386834775499258
0.0494318844828399,1.0180620610882962
0.5535472726227312,0.8718864011680505
-0.35339796220361797,0.807969154007339
2.6907121240371743,0.7261053981996131
-1.566450544540343,1.8207651089515946
-0.3970418195094874,1.8877673085425895
-0.17415183061810072,1.5815249202959782
-2.8845257363353336,1.319414811896196
0.4669320977493593,2.4384339675077666
1.0322349883807294,2.0229285577905696
0.22671580169146044,1.8272811969168135
-0.1870611140595249,1.5149586178343095
0.49735111119608255,1.267075330112623
-0.34945895392673115,1.1092392963502427
2.0485368804006314,0.9622873726896489
-0.5745087952738593,1.4987898707094702
-0.7658614255255352,1.3040481884864206
0.21904465170464524,1.1928348062806997
-0.433105166477831,1.0154064064972443
-0.05878360912941214,0.8969344126133668
-0.6074647242195645,0.7771041071189033
-0.4328491193101789,0.7416462288861296
-0.19570346099266278,0.6867180629939064
-1.6077017116151364,0.6173603172451938
0.10325834679912393,0.9659658222773249
0.15631528509292794,0.8331221098842423
-0.12845041212327096,0.7297078107005363
0.5310039864761272,0.646807219170214
1.4195068670206588,0.6229234858615096
-0.9161847228334771,0.8833942643185815
-1.1559144121033098,0.9152225291160301
-1.4561694795204803,1.0065793225547641
1.5847264102182097,1.1990045989038158
